"","case","year","month","date","time","location","age","race","gender","type","history","history_num","bond","detention","trial","trial_status","result"
"550",550,2020,5,2020-05-02,"After","Harris County",20,"Other","Male","B",1,7,0,1,FALSE,"n/a","Dismissed"
"551",551,2021,11,2021-11-21,"After","Other Place",27,"White","Male","Violent",1,16,10000,1,FALSE,"n/a","Guilty Plea"
"552",552,2018,7,2018-07-26,"Before","Other Place",19,"Black","Female","B",1,25,5000,143,FALSE,"n/a","Guilty Plea"
"553",553,2018,1,2018-01-28,"Before","Other Place",30,"White","Female","B",0,1,500,139,FALSE,"n/a","Dismissed"
"554",554,2019,4,2019-04-05,"Before","Harris County",34,"Black","Male","B",1,5,2500,137,FALSE,"n/a","Guilty Plea"
"555",555,2022,9,2022-09-06,"After","Harris County",31,"Black","Male","Violent",1,5,0,1,TRUE,"Released","Acquitted"
"556",556,2020,11,2020-11-07,"After","Other Place",26,"Latinx","Male","Violent",0,1,1500,20,FALSE,"n/a","Dismissed"
"557",557,2017,5,2017-05-14,"Before","Harris County",40,"Black","Male","B",1,4,2000,72,FALSE,"n/a","Guilty Plea"
"558",558,2022,6,2022-06-18,"After","Other Place",58,"White","Male","B",0,1,500,113,FALSE,"n/a","Guilty Plea"
"559",559,2021,6,2021-06-13,"After","Harris County",48,"Black","Male","B",0,1,0,1,FALSE,"n/a","Dismissed"
"560",560,2019,5,2019-05-15,"Before","Other Place",23,"Latinx","Female","B",1,6,3000,95,FALSE,"n/a","Dismissed"
"561",561,2020,10,2020-10-22,"After","Harris County",37,"Black","Male","Violent",1,2,0,1,FALSE,"n/a","Dismissed"
"562",562,2018,1,2018-01-16,"Before","Other Place",40,"White","Female","B",0,1,500,1,FALSE,"n/a","Dismissed"
"563",563,2020,6,2020-06-06,"After","Harris County",24,"Latinx","Female","B",1,6,0,1,FALSE,"n/a","Dismissed"
"564",564,2022,11,2022-11-08,"After","Harris County",33,"White","Male","B",1,2,0,1,FALSE,"n/a","Dismissed"
"565",565,2021,5,2021-05-15,"After","Harris County",34,"Black","Male","B",0,1,0,1,FALSE,"n/a","Guilty Plea"
"566",566,2018,8,2018-08-14,"Before","Harris County",40,"White","Male","B",1,2,1000,42,FALSE,"n/a","Guilty Plea"
"567",567,2018,8,2018-08-29,"Before","Other Place",43,"White","Male","B",1,3,1500,1,FALSE,"n/a","Guilty Plea"
"568",568,2019,12,2019-12-17,"Before","Harris County",34,"White","Male","Violent",0,1,1500,3,FALSE,"n/a","Dismissed"
"569",569,2017,3,2017-03-16,"Before","Harris County",28,"White","Male","Violent",1,7,10000,24,FALSE,"n/a","Guilty Plea"
"570",570,2021,3,2021-03-31,"After","Harris County",26,"Other","Male","Violent",0,1,0,1,FALSE,"n/a","Dismissed"
"571",571,2021,9,2021-09-25,"After","Harris County",38,"Black","Male","A",0,1,0,1,TRUE,"Released","Acquitted"
"572",572,2019,6,2019-06-26,"Before","Harris County",50,"Black","Male","A",0,1,1000,22,FALSE,"n/a","Dismissed"
"573",573,2022,1,2022-01-16,"After","Other Place",19,"Black","Male","Violent",1,6,9000,123,FALSE,"n/a","Guilty Plea"
"574",574,2019,1,2019-01-27,"Before","Harris County",31,"White","Male","B",1,7,3500,52,FALSE,"n/a","Dismissed"
"575",575,2017,8,2017-08-11,"Before","Other Place",25,"White","Male","B",1,8,4000,1,FALSE,"n/a","Dismissed"
"576",576,2017,7,2017-07-15,"Before","Other Place",23,"White","Female","A",1,2,2000,1,FALSE,"n/a","Guilty Plea"
"577",577,2020,2,2020-02-26,"After","Harris County",22,"Black","Male","A",1,6,0,1,FALSE,"n/a","Guilty Plea"
"578",578,2019,11,2019-11-21,"Before","Other Place",33,"Latinx","Male","Violent",1,13,10000,1,FALSE,"n/a","Guilty Plea"
"579",579,2018,8,2018-08-07,"Before","Other Place",39,"White","Male","B",0,1,500,21,FALSE,"n/a","Dismissed"
"580",580,2018,8,2018-08-05,"Before","Harris County",29,"White","Male","A",0,1,1000,120,FALSE,"n/a","Guilty Plea"
"581",581,2022,2,2022-02-24,"After","Other Place",26,"Latinx","Male","A",0,1,1000,31,FALSE,"n/a","Guilty Plea"
"582",582,2018,5,2018-05-09,"Before","Harris County",24,"Black","Female","Violent",1,9,10000,68,FALSE,"n/a","Guilty Plea"
"583",583,2019,10,2019-10-14,"Before","Harris County",23,"Black","Male","Violent",1,13,10000,38,FALSE,"n/a","Guilty Plea"
"584",584,2021,2,2021-02-05,"After","Harris County",27,"Black","Male","A",1,4,0,1,FALSE,"n/a","Guilty Plea"
"585",585,2020,11,2020-11-09,"After","Harris County",34,"White","Male","Violent",1,9,0,1,FALSE,"n/a","Guilty Plea"
"586",586,2019,10,2019-10-06,"Before","Harris County",44,"Black","Male","B",1,3,1500,1,FALSE,"n/a","Guilty Plea"
"587",587,2019,7,2019-07-09,"Before","Harris County",23,"Latinx","Female","B",1,5,2500,96,FALSE,"n/a","Guilty Plea"
"588",588,2020,5,2020-05-09,"After","Other Place",31,"Black","Male","Violent",1,9,10000,4,FALSE,"n/a","Guilty Plea"
"589",589,2020,3,2020-03-15,"After","Other Place",31,"Black","Male","A",0,1,1000,120,FALSE,"n/a","Guilty Plea"
"590",590,2021,11,2021-11-16,"After","Harris County",37,"White","Male","Violent",1,13,0,1,FALSE,"n/a","Dismissed"
"591",591,2020,1,2020-01-20,"After","Harris County",32,"White","Female","B",1,4,0,1,FALSE,"n/a","Guilty Plea"
"592",592,2022,2,2022-02-27,"After","Other Place",20,"Black","Male","B",1,6,3000,1,FALSE,"n/a","Guilty Plea"
"593",593,2021,11,2021-11-18,"After","Harris County",20,"White","Male","B",1,14,0,1,FALSE,"n/a","Guilty Plea"
"594",594,2018,9,2018-09-12,"Before","Harris County",39,"Black","Male","A",0,1,1000,26,TRUE,"Released","Acquitted"
"595",595,2019,6,2019-06-02,"Before","Other Place",27,"Black","Male","B",1,20,5000,31,FALSE,"n/a","Dismissed"
"596",596,2022,4,2022-04-12,"After","Other Place",28,"White","Male","B",0,1,500,60,FALSE,"n/a","Guilty Plea"
"597",597,2022,3,2022-03-06,"After","Other Place",35,"Black","Male","B",1,2,1000,1,TRUE,"Released","Acquitted"
"598",598,2018,10,2018-10-08,"Before","Other Place",33,"Latinx","Male","A",1,8,5000,1,FALSE,"n/a","Guilty Plea"
"599",599,2022,9,2022-09-02,"After","Harris County",32,"Black","Male","Violent",1,7,0,1,FALSE,"n/a","Dismissed"
"600",600,2018,10,2018-10-20,"Before","Harris County",21,"White","Female","B",1,11,5000,44,FALSE,"n/a","Guilty Plea"
"601",601,2021,2,2021-02-18,"After","Harris County",54,"Latinx","Male","Violent",1,5,0,1,FALSE,"n/a","Guilty Plea"
"602",602,2021,9,2021-09-22,"After","Harris County",51,"Black","Male","A",1,5,0,1,FALSE,"n/a","Dismissed"
"603",603,2019,1,2019-01-26,"Before","Harris County",18,"Black","Male","Violent",1,3,4500,20,FALSE,"n/a","Dismissed"
"604",604,2017,12,2017-12-15,"Before","Harris County",43,"Latinx","Male","B",1,3,1500,28,FALSE,"n/a","Guilty Plea"
"605",605,2021,10,2021-10-21,"After","Harris County",43,"White","Male","B",0,1,0,1,TRUE,"Released","Acquitted"
"606",606,2020,11,2020-11-16,"After","Harris County",33,"Latinx","Female","B",1,6,0,1,TRUE,"Released","Acquitted"
"607",607,2017,2,2017-02-05,"Before","Other Place",27,"White","Male","B",1,3,1500,1,FALSE,"n/a","Dismissed"
"608",608,2018,5,2018-05-24,"Before","Harris County",56,"White","Male","B",0,1,500,74,FALSE,"n/a","Guilty Plea"
"609",609,2018,2,2018-02-14,"Before","Harris County",31,"Black","Male","B",1,9,4500,11,FALSE,"n/a","Guilty Plea"
"610",610,2018,11,2018-11-19,"Before","Other Place",33,"White","Male","B",1,6,3000,135,FALSE,"n/a","Dismissed"
"611",611,2017,9,2017-09-07,"Before","Harris County",36,"Latinx","Male","B",1,2,1000,118,FALSE,"n/a","Guilty Plea"
"612",612,2020,7,2020-07-07,"After","Harris County",33,"Other","Male","A",0,1,0,1,FALSE,"n/a","Guilty Plea"
"613",613,2019,9,2019-09-20,"Before","Other Place",39,"Black","Male","B",1,4,2000,33,FALSE,"n/a","Guilty Plea"
"614",614,2020,5,2020-05-22,"After","Other Place",36,"Black","Female","B",1,10,5000,54,FALSE,"n/a","Guilty Plea"
"615",615,2017,4,2017-04-13,"Before","Harris County",43,"White","Male","Violent",1,4,6000,4,FALSE,"n/a","Guilty Plea"
"616",616,2022,4,2022-04-03,"After","Harris County",41,"White","Male","A",1,8,0,1,FALSE,"n/a","Dismissed"
"617",617,2021,11,2021-11-04,"After","Other Place",37,"Latinx","Male","Violent",1,17,10000,32,FALSE,"n/a","Dismissed"
"618",618,2022,4,2022-04-11,"After","Harris County",53,"White","Male","Violent",0,1,0,1,FALSE,"n/a","Guilty Plea"
"619",619,2022,7,2022-07-12,"After","Harris County",32,"Black","Male","Violent",1,5,0,1,FALSE,"n/a","Guilty Plea"
"620",620,2018,5,2018-05-27,"Before","Other Place",28,"White","Female","B",0,1,500,33,FALSE,"n/a","Dismissed"
"621",621,2022,5,2022-05-02,"After","Other Place",41,"Latinx","Male","A",0,1,1000,1,FALSE,"n/a","Guilty Plea"
"622",622,2020,4,2020-04-29,"After","Other Place",35,"Latinx","Male","Violent",0,1,1500,2,FALSE,"n/a","Guilty Plea"
"623",623,2019,10,2019-10-06,"Before","Harris County",19,"Latinx","Male","B",1,23,5000,168,FALSE,"n/a","Guilty Plea"
"624",624,2019,12,2019-12-31,"Before","Other Place",29,"White","Male","B",0,1,500,1,FALSE,"n/a","Guilty Plea"
"625",625,2019,8,2019-08-08,"Before","Harris County",22,"White","Male","B",0,1,500,65,TRUE,"Released","Acquitted"
"626",626,2017,1,2017-01-23,"Before","Other Place",63,"White","Male","B",0,1,500,80,FALSE,"n/a","Guilty Plea"
"627",627,2022,3,2022-03-24,"After","Harris County",48,"White","Male","Violent",1,4,0,1,FALSE,"n/a","Guilty Plea"
"628",628,2022,9,2022-09-01,"After","Harris County",46,"White","Male","B",1,3,0,1,FALSE,"n/a","Guilty Plea"
"629",629,2018,9,2018-09-20,"Before","Other Place",31,"Latinx","Male","Violent",1,3,4500,1,TRUE,"Released","Acquitted"
"630",630,2020,7,2020-07-31,"After","Other Place",40,"White","Male","Violent",1,2,3000,13,FALSE,"n/a","Guilty Plea"
"631",631,2018,3,2018-03-11,"Before","Other Place",30,"Black","Male","B",0,1,500,256,FALSE,"n/a","Guilty Plea"
"632",632,2018,6,2018-06-15,"Before","Harris County",40,"White","Male","B",1,3,1500,182,FALSE,"n/a","Guilty Plea"
"633",633,2022,6,2022-06-04,"After","Harris County",35,"Latinx","Male","Violent",1,3,0,1,FALSE,"n/a","Dismissed"
"634",634,2018,11,2018-11-09,"Before","Harris County",31,"Latinx","Male","Violent",1,3,4500,10,FALSE,"n/a","Guilty Plea"
"635",635,2017,11,2017-11-04,"Before","Other Place",25,"White","Male","Violent",1,11,10000,24,FALSE,"n/a","Guilty Plea"
"636",636,2022,10,2022-10-14,"After","Harris County",25,"Black","Male","B",1,24,0,1,FALSE,"n/a","Dismissed"
"637",637,2021,1,2021-01-21,"After","Other Place",40,"Black","Male","B",0,1,500,1,FALSE,"n/a","Guilty Plea"
"638",638,2020,10,2020-10-20,"After","Harris County",27,"Black","Male","B",0,1,0,1,FALSE,"n/a","Dismissed"
"639",639,2022,7,2022-07-04,"After","Harris County",37,"White","Male","B",1,13,0,1,TRUE,"Released","Acquitted"
"640",640,2019,4,2019-04-22,"Before","Harris County",56,"Black","Female","B",0,1,500,10,FALSE,"n/a","Guilty Plea"
"641",641,2021,12,2021-12-15,"After","Other Place",30,"White","Male","B",1,2,1000,1,FALSE,"n/a","Dismissed"
"642",642,2018,3,2018-03-17,"Before","Other Place",36,"White","Male","A",1,10,5000,33,FALSE,"n/a","Guilty Plea"
"643",643,2020,7,2020-07-14,"After","Harris County",38,"Black","Male","B",1,2,0,1,TRUE,"Released","Acquitted"
"644",644,2018,1,2018-01-11,"Before","Harris County",31,"Black","Female","B",1,21,5000,22,FALSE,"n/a","Dismissed"
"645",645,2018,4,2018-04-14,"Before","Harris County",29,"Black","Male","B",1,10,5000,8,FALSE,"n/a","Guilty Plea"
"646",646,2021,10,2021-10-23,"After","Other Place",37,"Latinx","Male","B",1,3,1500,20,FALSE,"n/a","Guilty Plea"
"647",647,2022,2,2022-02-27,"After","Other Place",19,"White","Female","B",1,3,1500,1,FALSE,"n/a","Dismissed"
"648",648,2021,1,2021-01-05,"After","Other Place",43,"White","Male","B",1,3,1500,1,FALSE,"n/a","Guilty Plea"
"649",649,2022,5,2022-05-17,"After","Other Place",31,"White","Female","B",1,19,5000,14,FALSE,"n/a","Dismissed"
"650",650,2018,8,2018-08-03,"Before","Other Place",18,"Latinx","Male","Violent",1,12,10000,19,FALSE,"n/a","Guilty Plea"
"651",651,2017,5,2017-05-06,"Before","Harris County",35,"Latinx","Female","B",1,7,3500,1,FALSE,"n/a","Dismissed"
"652",652,2022,8,2022-08-22,"After","Harris County",42,"Black","Male","B",1,6,0,1,FALSE,"n/a","Guilty Plea"
"653",653,2020,4,2020-04-12,"After","Other Place",29,"Black","Male","B",1,8,4000,56,FALSE,"n/a","Dismissed"
"654",654,2018,9,2018-09-02,"Before","Harris County",26,"Black","Male","B",1,3,1500,47,FALSE,"n/a","Guilty Plea"
"655",655,2017,3,2017-03-24,"Before","Harris County",53,"White","Male","Violent",1,11,10000,8,FALSE,"n/a","Guilty Plea"
"656",656,2022,2,2022-02-07,"After","Other Place",20,"Black","Female","B",1,5,2500,1,FALSE,"n/a","Guilty Plea"
"657",657,2019,12,2019-12-31,"Before","Harris County",32,"White","Female","B",1,2,1000,9,FALSE,"n/a","Guilty Plea"
"658",658,2020,11,2020-11-06,"After","Other Place",28,"White","Male","A",0,1,1000,2,FALSE,"n/a","Dismissed"
"659",659,2018,6,2018-06-21,"Before","Harris County",38,"Other","Male","Violent",0,1,1500,26,FALSE,"n/a","Dismissed"
"660",660,2022,1,2022-01-12,"After","Harris County",26,"Black","Male","B",0,1,0,1,FALSE,"n/a","Dismissed"
"661",661,2022,3,2022-03-25,"After","Other Place",18,"White","Male","B",1,7,3500,303,FALSE,"n/a","Guilty Plea"
"662",662,2022,2,2022-02-06,"After","Other Place",38,"Black","Female","A",0,1,1000,19,FALSE,"n/a","Guilty Plea"
"663",663,2017,1,2017-01-23,"Before","Harris County",20,"Black","Female","B",0,1,500,61,FALSE,"n/a","Guilty Plea"
"664",664,2017,5,2017-05-05,"Before","Other Place",32,"Black","Male","B",1,7,3500,35,FALSE,"n/a","Guilty Plea"
"665",665,2017,11,2017-11-12,"Before","Harris County",27,"White","Male","B",1,6,3000,60,FALSE,"n/a","Dismissed"
"666",666,2018,11,2018-11-29,"Before","Other Place",29,"Black","Male","B",0,1,500,2,FALSE,"n/a","Guilty Plea"
"667",667,2020,5,2020-05-13,"After","Harris County",41,"Black","Male","Violent",1,2,0,1,FALSE,"n/a","Dismissed"
"668",668,2019,2,2019-02-21,"Before","Harris County",41,"Black","Male","B",1,2,1000,18,FALSE,"n/a","Dismissed"
"669",669,2017,7,2017-07-10,"Before","Harris County",53,"White","Female","B",1,4,2000,107,FALSE,"n/a","Guilty Plea"
"670",670,2022,3,2022-03-03,"After","Other Place",35,"White","Male","Violent",1,14,10000,2,FALSE,"n/a","Guilty Plea"
"671",671,2018,2,2018-02-20,"Before","Other Place",36,"Black","Male","Violent",1,7,10000,31,FALSE,"n/a","Guilty Plea"
"672",672,2018,5,2018-05-31,"Before","Harris County",23,"White","Male","Violent",1,9,10000,55,FALSE,"n/a","Dismissed"
"673",673,2022,3,2022-03-20,"After","Other Place",34,"White","Male","A",0,1,1000,44,FALSE,"n/a","Guilty Plea"
"674",674,2022,4,2022-04-17,"After","Harris County",31,"Black","Male","Violent",0,1,0,1,FALSE,"n/a","Guilty Plea"
"675",675,2021,11,2021-11-22,"After","Other Place",42,"Black","Male","B",0,1,500,108,FALSE,"n/a","Dismissed"
"676",676,2021,6,2021-06-19,"After","Harris County",22,"Latinx","Male","A",1,3,0,1,TRUE,"Released","Acquitted"
"677",677,2017,8,2017-08-29,"Before","Harris County",29,"Black","Male","B",1,5,2500,5,FALSE,"n/a","Dismissed"
"678",678,2018,4,2018-04-12,"Before","Harris County",63,"Black","Male","B",1,12,5000,29,FALSE,"n/a","Guilty Plea"
"679",679,2021,1,2021-01-24,"After","Harris County",27,"White","Male","B",1,17,0,1,FALSE,"n/a","Guilty Plea"
"680",680,2017,7,2017-07-23,"Before","Harris County",33,"Black","Male","B",1,7,3500,22,FALSE,"n/a","Guilty Plea"
"681",681,2018,3,2018-03-26,"Before","Other Place",28,"Other","Male","Violent",0,1,1500,1,FALSE,"n/a","Guilty Plea"
"682",682,2019,4,2019-04-18,"Before","Harris County",19,"Latinx","Male","B",0,1,500,151,FALSE,"n/a","Guilty Plea"
"683",683,2020,5,2020-05-21,"After","Other Place",41,"White","Male","A",0,1,1000,1,FALSE,"n/a","Dismissed"
"684",684,2021,5,2021-05-18,"After","Other Place",22,"Black","Male","Violent",1,3,4500,192,FALSE,"n/a","Dismissed"
"685",685,2022,6,2022-06-21,"After","Other Place",28,"Black","Male","Violent",1,3,4500,99,FALSE,"n/a","Guilty Plea"
"686",686,2021,5,2021-05-17,"After","Other Place",25,"White","Male","B",1,29,5000,1,FALSE,"n/a","Guilty Plea"
"687",687,2017,9,2017-09-01,"Before","Other Place",20,"White","Male","A",1,3,3000,182,FALSE,"n/a","Guilty Plea"
"688",688,2017,9,2017-09-03,"Before","Harris County",22,"White","Male","Violent",1,5,7500,46,FALSE,"n/a","Guilty Plea"
"689",689,2020,1,2020-01-04,"After","Other Place",20,"Other","Male","B",0,1,500,139,FALSE,"n/a","Guilty Plea"
"690",690,2020,5,2020-05-24,"After","Harris County",20,"Latinx","Male","Violent",1,7,0,1,FALSE,"n/a","Guilty Plea"
"691",691,2017,7,2017-07-13,"Before","Other Place",30,"White","Male","B",0,1,500,14,FALSE,"n/a","Dismissed"
"692",692,2021,10,2021-10-19,"After","Other Place",32,"White","Male","A",1,3,3000,1,FALSE,"n/a","Dismissed"
"693",693,2022,2,2022-02-16,"After","Other Place",21,"White","Male","B",1,4,2000,1,FALSE,"n/a","Guilty Plea"
"694",694,2017,6,2017-06-24,"Before","Harris County",44,"Black","Male","B",0,1,500,122,FALSE,"n/a","Guilty Plea"
"695",695,2019,2,2019-02-05,"Before","Harris County",22,"White","Male","B",1,3,1500,93,FALSE,"n/a","Guilty Plea"
"696",696,2019,4,2019-04-16,"Before","Other Place",40,"Black","Male","Violent",1,8,10000,9,FALSE,"n/a","Guilty Plea"
"697",697,2019,7,2019-07-30,"Before","Harris County",18,"Black","Male","B",0,1,500,1,FALSE,"n/a","Guilty Plea"
"698",698,2017,10,2017-10-30,"Before","Harris County",27,"Black","Male","B",1,3,1500,94,FALSE,"n/a","Guilty Plea"
"699",699,2020,10,2020-10-19,"After","Other Place",36,"White","Male","B",0,1,500,1,FALSE,"n/a","Dismissed"
"700",700,2017,12,2017-12-02,"Before","Other Place",32,"Other","Male","Violent",1,6,9000,59,FALSE,"n/a","Guilty Plea"
"701",701,2018,7,2018-07-28,"Before","Harris County",21,"Black","Male","B",1,9,4500,106,FALSE,"n/a","Dismissed"
"702",702,2022,5,2022-05-24,"After","Harris County",20,"Latinx","Male","B",1,6,0,1,FALSE,"n/a","Guilty Plea"
"703",703,2018,5,2018-05-20,"Before","Harris County",30,"Black","Male","B",1,3,1500,7,FALSE,"n/a","Guilty Plea"
"704",704,2017,3,2017-03-27,"Before","Harris County",35,"Black","Female","B",1,5,2500,26,TRUE,"Released","Acquitted"
"705",705,2019,5,2019-05-21,"Before","Harris County",28,"White","Male","Violent",1,15,10000,38,FALSE,"n/a","Dismissed"
"706",706,2018,6,2018-06-09,"Before","Harris County",21,"White","Male","B",1,12,5000,3,FALSE,"n/a","Dismissed"
"707",707,2018,3,2018-03-12,"Before","Other Place",28,"White","Male","B",0,1,500,46,FALSE,"n/a","Dismissed"
"708",708,2018,11,2018-11-30,"Before","Other Place",47,"White","Male","Violent",1,2,3000,5,TRUE,"Released","Acquitted"
"709",709,2022,5,2022-05-21,"After","Other Place",27,"Latinx","Male","Violent",1,3,4500,21,FALSE,"n/a","Guilty Plea"
"710",710,2017,9,2017-09-12,"Before","Harris County",26,"Black","Male","B",0,1,500,45,FALSE,"n/a","Guilty Plea"
"711",711,2018,8,2018-08-11,"Before","Other Place",30,"Latinx","Male","B",1,2,1000,1,FALSE,"n/a","Guilty Plea"
"712",712,2020,3,2020-03-11,"After","Harris County",34,"Black","Male","A",1,3,0,1,FALSE,"n/a","Guilty Plea"
"713",713,2021,5,2021-05-07,"After","Other Place",40,"Black","Male","B",1,12,5000,88,FALSE,"n/a","Guilty Plea"
"714",714,2022,8,2022-08-25,"After","Other Place",30,"White","Male","A",0,1,1000,33,FALSE,"n/a","Dismissed"
"715",715,2019,9,2019-09-09,"Before","Harris County",32,"White","Male","B",0,1,500,3,FALSE,"n/a","Guilty Plea"
"716",716,2022,11,2022-11-03,"After","Other Place",27,"Latinx","Male","B",0,1,500,19,FALSE,"n/a","Guilty Plea"
"717",717,2020,11,2020-11-20,"After","Harris County",26,"White","Male","B",1,5,0,1,FALSE,"n/a","Dismissed"
"718",718,2017,2,2017-02-04,"Before","Other Place",26,"Latinx","Female","B",0,1,500,45,FALSE,"n/a","Dismissed"
"719",719,2021,11,2021-11-02,"After","Other Place",33,"White","Male","B",0,1,500,46,FALSE,"n/a","Dismissed"
"720",720,2022,1,2022-01-01,"After","Other Place",20,"Black","Female","A",0,1,1000,86,FALSE,"n/a","Dismissed"
"721",721,2022,3,2022-03-04,"After","Harris County",29,"White","Male","A",1,3,0,1,TRUE,"Released","Acquitted"
"722",722,2022,1,2022-01-31,"After","Harris County",23,"Black","Male","B",1,8,0,1,FALSE,"n/a","Guilty Plea"
"723",723,2020,7,2020-07-29,"After","Harris County",39,"Black","Male","Violent",0,1,0,1,FALSE,"n/a","Dismissed"
"724",724,2021,12,2021-12-12,"After","Other Place",40,"Latinx","Male","B",1,4,2000,4,FALSE,"n/a","Guilty Plea"
"725",725,2018,12,2018-12-06,"Before","Harris County",36,"Other","Male","B",1,9,4500,10,FALSE,"n/a","Dismissed"
"726",726,2022,12,2022-12-11,"After","Other Place",32,"Black","Male","B",1,4,2000,1,FALSE,"n/a","Guilty Plea"
"727",727,2017,11,2017-11-09,"Before","Harris County",30,"Black","Male","Violent",1,10,10000,26,FALSE,"n/a","Dismissed"
"728",728,2019,2,2019-02-16,"Before","Harris County",25,"Latinx","Male","B",1,8,4000,2,FALSE,"n/a","Dismissed"
"729",729,2018,12,2018-12-28,"Before","Harris County",30,"Latinx","Male","B",0,1,500,9,FALSE,"n/a","Dismissed"
"730",730,2021,10,2021-10-10,"After","Other Place",20,"White","Male","B",1,2,1000,1,FALSE,"n/a","Guilty Plea"
"731",731,2022,6,2022-06-18,"After","Harris County",29,"Black","Male","B",1,5,0,1,FALSE,"n/a","Guilty Plea"
"732",732,2017,9,2017-09-17,"Before","Other Place",25,"White","Male","B",1,4,2000,1,FALSE,"n/a","Dismissed"
"733",733,2022,4,2022-04-05,"After","Harris County",43,"Black","Female","A",0,1,0,1,FALSE,"n/a","Guilty Plea"
"734",734,2017,3,2017-03-09,"Before","Harris County",33,"White","Male","B",1,7,3500,184,FALSE,"n/a","Guilty Plea"
"735",735,2017,9,2017-09-13,"Before","Harris County",40,"White","Male","B",1,14,5000,22,FALSE,"n/a","Guilty Plea"
"736",736,2021,7,2021-07-28,"After","Other Place",44,"Black","Male","B",1,17,5000,34,FALSE,"n/a","Guilty Plea"
"737",737,2018,7,2018-07-19,"Before","Other Place",21,"White","Male","B",1,4,2000,1,FALSE,"n/a","Guilty Plea"
"738",738,2020,1,2020-01-08,"After","Other Place",43,"Black","Male","B",1,4,2000,79,FALSE,"n/a","Dismissed"
"739",739,2022,11,2022-11-22,"After","Harris County",40,"Black","Male","Violent",1,2,0,1,FALSE,"n/a","Dismissed"
"740",740,2019,6,2019-06-05,"Before","Other Place",35,"Latinx","Male","B",1,6,3000,1,FALSE,"n/a","Guilty Plea"
"741",741,2018,11,2018-11-09,"Before","Other Place",30,"Latinx","Male","B",0,1,500,1,FALSE,"n/a","Guilty Plea"
"742",742,2022,11,2022-11-29,"After","Other Place",42,"White","Male","A",1,21,5000,14,TRUE,"Released","Acquitted"
"743",743,2019,6,2019-06-24,"Before","Harris County",23,"Black","Male","B",1,3,1500,67,TRUE,"Detained","Convicted"
"744",744,2020,4,2020-04-05,"After","Harris County",39,"Black","Male","B",1,11,0,1,FALSE,"n/a","Guilty Plea"
"745",745,2019,3,2019-03-12,"Before","Other Place",27,"Black","Male","B",1,2,1000,23,TRUE,"Released","Acquitted"
"746",746,2021,12,2021-12-01,"After","Harris County",25,"Black","Male","Violent",1,6,0,1,TRUE,"Released","Acquitted"
"747",747,2021,10,2021-10-11,"After","Harris County",29,"Black","Male","B",0,1,0,1,FALSE,"n/a","Guilty Plea"
"748",748,2017,7,2017-07-05,"Before","Other Place",41,"Black","Male","B",1,4,2000,11,FALSE,"n/a","Dismissed"
"749",749,2019,10,2019-10-03,"Before","Harris County",24,"White","Male","B",1,11,5000,37,FALSE,"n/a","Dismissed"
"750",750,2017,1,2017-01-01,"Before","Harris County",37,"Black","Female","A",1,5,5000,8,FALSE,"n/a","Guilty Plea"
"751",751,2019,7,2019-07-30,"Before","Other Place",31,"Black","Male","Violent",1,4,6000,54,FALSE,"n/a","Guilty Plea"
"752",752,2019,7,2019-07-04,"Before","Other Place",32,"White","Male","B",0,1,500,13,FALSE,"n/a","Guilty Plea"
"753",753,2017,5,2017-05-06,"Before","Harris County",43,"Black","Male","A",1,3,3000,18,FALSE,"n/a","Guilty Plea"
"754",754,2018,6,2018-06-12,"Before","Harris County",23,"Black","Male","B",1,15,5000,13,FALSE,"n/a","Guilty Plea"
"755",755,2017,9,2017-09-17,"Before","Other Place",32,"White","Male","B",1,4,2000,55,FALSE,"n/a","Guilty Plea"
"756",756,2017,7,2017-07-16,"Before","Other Place",35,"Black","Female","B",0,1,500,13,FALSE,"n/a","Guilty Plea"
"757",757,2017,1,2017-01-12,"Before","Other Place",18,"Latinx","Male","A",1,5,5000,20,FALSE,"n/a","Guilty Plea"
"758",758,2019,12,2019-12-21,"Before","Harris County",21,"White","Male","B",1,6,3000,52,FALSE,"n/a","Guilty Plea"
"759",759,2021,4,2021-04-23,"After","Other Place",42,"White","Female","B",0,1,500,109,FALSE,"n/a","Dismissed"
"760",760,2022,3,2022-03-06,"After","Harris County",36,"White","Male","A",0,1,0,1,FALSE,"n/a","Dismissed"
"761",761,2022,11,2022-11-30,"After","Harris County",27,"White","Male","B",1,2,0,1,FALSE,"n/a","Guilty Plea"
"762",762,2021,5,2021-05-17,"After","Harris County",32,"Black","Female","A",1,15,0,1,FALSE,"n/a","Guilty Plea"
"763",763,2019,12,2019-12-11,"Before","Other Place",40,"White","Male","B",1,4,2000,4,FALSE,"n/a","Guilty Plea"
"764",764,2018,4,2018-04-16,"Before","Other Place",27,"Black","Male","B",1,6,3000,69,FALSE,"n/a","Guilty Plea"
"765",765,2020,2,2020-02-10,"After","Harris County",26,"White","Male","B",0,1,0,1,FALSE,"n/a","Dismissed"
"766",766,2021,5,2021-05-06,"After","Harris County",37,"Black","Male","B",0,1,0,1,FALSE,"n/a","Guilty Plea"
"767",767,2022,1,2022-01-02,"After","Harris County",27,"Latinx","Male","B",1,19,0,1,FALSE,"n/a","Guilty Plea"
"768",768,2021,5,2021-05-20,"After","Other Place",22,"Black","Male","B",1,2,1000,55,FALSE,"n/a","Guilty Plea"
